File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
N5000C1000_01.BPP,1,5000,1000,2491,3309,32.84,0.0023,2500,0.36,1.2
N5000C1000_02.BPP,2,5000,1000,2498,3313,32.63,0.00207,2520,0.88,1.21
N5000C1000_03.BPP,3,5000,1000,2486,3314,33.31,0.00203,2495,0.36,1.2
N5000C1000_04.BPP,4,5000,1000,2504,3305,31.99,0.00202,2511,0.28,1.2
N5000C1000_05.BPP,5,5000,1000,2512,3343,33.08,0.00197,2522,0.4,1.23
N5000C1000_06.BPP,6,5000,1000,2726,3786,38.88,0.00208,2834,3.96,1.49
N5000C1000_07.BPP,7,5000,1000,2750,3823,39.02,0.00204,2877,4.62,1.52
N5000C1000_08.BPP,8,5000,1000,2774,3854,38.93,0.00213,2908,4.83,1.55
N5000C1000_09.BPP,9,5000,1000,2720,3762,38.31,0.00214,2830,4.04,1.5
N5000C1000_10.BPP,10,5000,1000,2746,3805,38.57,0.00212,2866,4.37,1.52
N5000C1000_11.BPP,11,5000,1000,1749,2324,32.88,0.0017,2077,18.75,1.16
N5000C1000_12.BPP,12,5000,1000,1747,2321,32.86,0.00173,2068,18.37,1.16
N5000C1000_13.BPP,13,5000,1000,1745,2319,32.89,0.00181,2067,18.45,1.16
N5000C1000_14.BPP,14,5000,1000,1751,2327,32.9,0.00168,2080,18.79,1.16
N5000C1000_15.BPP,15,5000,1000,1747,2326,33.14,0.00165,2070,18.49,1.16
