File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
N20000C1000_01.BPP,1,20000,1000,10045,13418,33.58,0.00885,10080,0.35,19.5
N20000C1000_02.BPP,2,20000,1000,9953,13253,33.16,0.00859,9976,0.23,19.4
N20000C1000_03.BPP,3,20000,1000,10020,13373,33.46,0.00825,10042,0.22,19.4
N20000C1000_04.BPP,4,20000,1000,10031,13367,33.26,0.00854,10062,0.31,19.5
N20000C1000_05.BPP,5,20000,1000,10037,13377,33.28,0.00819,10069,0.32,19.4
N20000C1000_06.BPP,6,20000,1000,10983,15223,38.61,0.00854,11449,4.24,24.2
N20000C1000_07.BPP,7,20000,1000,11010,15237,38.39,0.00846,11533,4.75,24.3
N20000C1000_08.BPP,8,20000,1000,10974,15182,38.35,0.00851,11420,4.06,24.3
N20000C1000_09.BPP,9,20000,1000,10947,15199,38.84,0.00851,11378,3.94,24.0
N20000C1000_10.BPP,10,20000,1000,11020,15265,38.52,0.0099,11513,4.47,24.3
N20000C1000_11.BPP,11,20000,1000,6989,9299,33.05,0.00717,8288,18.59,18.6
N20000C1000_12.BPP,12,20000,1000,6988,9283,32.84,0.00716,8292,18.66,18.8
N20000C1000_13.BPP,13,20000,1000,6985,9250,32.43,0.00714,8286,18.63,18.7
N20000C1000_14.BPP,14,20000,1000,6996,9278,32.62,0.00715,8312,18.81,18.8
N20000C1000_15.BPP,15,20000,1000,6986,9271,32.71,0.00857,8298,18.78,20.3
