File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
N1000C1000_01.BPP,1,1000,1000,505,670,32.67,0.000509,514,1.78,0.0508
N1000C1000_02.BPP,2,1000,1000,490,644,31.43,0.000376,496,1.22,0.0492
N1000C1000_03.BPP,3,1000,1000,506,673,33.0,0.000381,515,1.78,0.0491
N1000C1000_04.BPP,4,1000,1000,505,672,33.07,0.000379,517,2.38,0.0501
N1000C1000_05.BPP,5,1000,1000,501,677,35.13,0.000392,507,1.2,0.0504
N1000C1000_06.BPP,6,1000,1000,554,764,37.91,0.000445,590,6.5,0.0643
N1000C1000_07.BPP,7,1000,1000,538,750,39.41,0.000428,562,4.46,0.0595
N1000C1000_08.BPP,8,1000,1000,553,768,38.88,0.000438,596,7.78,0.0634
N1000C1000_09.BPP,9,1000,1000,552,765,38.59,0.000437,578,4.71,0.063
N1000C1000_10.BPP,10,1000,1000,560,784,40.0,0.000465,595,6.25,0.0642
N1000C1000_11.BPP,11,1000,1000,350,466,33.14,0.000363,417,19.14,0.0466
N1000C1000_12.BPP,12,1000,1000,351,470,33.9,0.000327,419,19.37,0.0473
N1000C1000_13.BPP,13,1000,1000,350,462,32.0,0.00035,417,19.14,0.0481
N1000C1000_14.BPP,14,1000,1000,350,465,32.86,0.000376,415,18.57,0.0476
N1000C1000_15.BPP,15,1000,1000,350,462,32.0,0.000331,417,19.14,0.0478
