File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
N100C1000_01.BPP,1,100,1000,54,75,38.89,0.0000542,57,5.56,0.000663
N100C1000_02.BPP,2,100,1000,53,72,35.85,0.0000534,55,3.77,0.00065
N100C1000_03.BPP,3,100,1000,50,66,32.0,0.0000526,51,2.0,0.00057
N100C1000_04.BPP,4,100,1000,50,65,30.0,0.0000489,52,4.0,0.000528
N100C1000_05.BPP,5,100,1000,49,65,32.65,0.0000493,52,6.12,0.000546
N100C1000_06.BPP,6,100,1000,51,71,39.22,0.0000525,54,5.88,0.000657
N100C1000_07.BPP,7,100,1000,53,75,41.51,0.0000497,57,7.55,0.000606
N100C1000_08.BPP,8,100,1000,55,77,40.0,0.0000517,62,12.73,0.000642
N100C1000_09.BPP,9,100,1000,55,76,38.18,0.0000509,64,16.36,0.000648
N100C1000_10.BPP,10,100,1000,57,80,40.35,0.0000538,66,15.79,0.000686
N100C1000_11.BPP,11,100,1000,35,46,31.43,0.0000452,42,20.0,0.000505
N100C1000_12.BPP,12,100,1000,35,46,31.43,0.0000431,42,20.0,0.000522
N100C1000_13.BPP,13,100,1000,35,45,28.57,0.0000472,40,14.29,0.00051
N100C1000_14.BPP,14,100,1000,35,47,34.29,0.0000476,41,17.14,0.000526
N100C1000_15.BPP,15,100,1000,35,48,37.14,0.0000554,41,17.14,0.000483
