File Name,No,N,C,Bound,NF,NFratio,tNF,FFD,FFDratio,tFFD
N500C1000_01.BPP,1,500,1000,250,330,32.0,0.00022,253,1.2,0.0129
N500C1000_02.BPP,2,500,1000,256,341,33.2,0.000204,261,1.95,0.0133
N500C1000_03.BPP,3,500,1000,244,321,31.56,0.000213,246,0.82,0.0119
N500C1000_04.BPP,4,500,1000,251,332,32.27,0.000195,255,1.59,0.0125
N500C1000_05.BPP,5,500,1000,246,321,30.49,0.000195,253,2.85,0.0124
N500C1000_06.BPP,6,500,1000,273,376,37.73,0.000224,286,4.76,0.0156
N500C1000_07.BPP,7,500,1000,276,383,38.77,0.000203,292,5.8,0.0157
N500C1000_08.BPP,8,500,1000,282,393,39.36,0.000224,303,7.45,0.0161
N500C1000_09.BPP,9,500,1000,271,375,38.38,0.000201,285,5.17,0.0154
N500C1000_10.BPP,10,500,1000,268,373,39.18,0.00022,280,4.48,0.0147
N500C1000_11.BPP,11,500,1000,175,232,32.57,0.000195,208,18.86,0.0117
N500C1000_12.BPP,12,500,1000,175,231,32.0,0.000172,210,20.0,0.0121
N500C1000_13.BPP,13,500,1000,175,234,33.71,0.000197,208,18.86,0.0119
N500C1000_14.BPP,14,500,1000,176,232,31.82,0.00017,208,18.18,0.0119
N500C1000_15.BPP,15,500,1000,175,229,30.86,0.000199,206,17.71,0.0121
